ID,CLAVE12,DESCRIPCION,UNIDAD,CANTI,TIPO,caracteristicas,redfrio,fecreg
3762,0608201125,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  30 x 16 mm. Longitud: 155 mm. Pieza.,JGO,1,JGO,generico,SI,28/02/2020
3763,0608201133,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  30 x 16 mm. Longitud: 170 mm. Pieza.,JGO,1,JGO,generico,SI,28/02/2020
3764,0608201141,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  30 x 18 mm. Longitud: 155 mm. Pieza.,JGO,1,JGO,generico,SI,28/02/2020
3765,0608201158,Prótesis tumoral. Todos los componentes deben ser compatibles entre si. Incluye dimensiones intermedias entre las especificadas. La seleccion del material y las medidas estara a cargo de las unidades de atencion de acuerdo a sus necesidades. Vástago femoral cementado. Tallo: de 11.0 mm a 17.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,,,,generico,SI,28/02/2020
3766,0608201166,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Acetábulos de polietileno de ultra alto peso molecular con enlaces cruzados por multiirradiación con alambres radiopacos ecuatoriales y/o polares de forma semiesférica diámetro interno de 28 mm estéril. Diámetro externo de: 36.0 mm a 64.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,,,,generico,SI,28/02/2020
3767,0608201174,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Componentes femorales vástago recto perfil lateralizado con cono 12-14. Ancho de: 7.0 mm a 18.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,,,,generico,SI,28/02/2020
3768,0608201182,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Componentes femorales vástago recto para luxación congénita de cadera con diámetro de 22 mm. Ancho de: 5.0 mm a 16.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,,,,generico,SI,28/02/2020
3769,0608201190,Protesis de revision de rodilla.La seleccion del material y las medidas estara a cargo de las unidades de atencion de acuerdo a sus necesidades. Prótesis de revisión componentes femorales anatómica. Derecha o izquierda. Tamaño: extrapequeña pequeña mediana grande o medidas equivalentes en mm con cajón estabilizador. Longitud del vástago de 80 mm a 160 mm. Pieza.,,,,generico,SI,28/02/2020
3770,0608201208,Protesis de revision de rodilla.La seleccion del material y las medidas estara a cargo de las unidades de atencion de acuerdo a sus necesidades. Extensión para base tibial de revisión y de rescate. Vástago medial lateral. Compatibles con el platillo tibial. Pieza.,,,,generico,SI,28/02/2020
3771,0608201216,Protesis de revision de rodilla.La seleccion del material y las medidas estara a cargo de las unidades de atencion de acuerdo a sus necesidades. Extensión para base tibial de cromo cobalto y/o titanio estabilizada y de revisión con o sin cemento. Tamaño: extrapequeña pequeña mediana  o grande o medidas equivalentes  en mm.  Vástago central de 80.0 a 160.0 mm. Pieza.,JGO,1,JGO,generico,SI,28/02/2020
3772,0608201224,Prótesis valvulares cardíacas. Anular valvular anillo protésico para plastía mitral. Calibre: 23 Pieza.,,,,generico,SI,28/02/2020
3773,0608201232,Prótesis valvulares cardíacas. Anular valvular anillo protésico para plastía mitral. Calibre: 25 Pieza.,JGO,1,JGO,generico,SI,28/02/2020
3774,0608201240,Prótesis valvulares cardíacas. Anular valvular anillo protésico para plastía mitral. Calibre: 27 Pieza.,JGO,1,JGO,generico,SI,28/02/2020
3775,0608201257,Prótesis valvulares cardíacas. Anular valvular anillo protésico para plastía mitral. Calibre: 29 Pieza.,,,,generico,SI,28/02/2020
3776,0608201265,Prótesis valvulares cardíacas. Anular valvular anillo protésico para plastía mitral. Calibre: 31 Pieza.,,,,generico,SI,28/02/2020
3777,0608201273,Cadera parcial bipolar no cementada. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. La selección del material y las medidas estará a cargo de las unidades de atención de acuerdo a sus necesidades. Acetábulo bipolar metálico de cromo-cobalto-molibdeno hemiesférico con inserto de polietileno de ultra alta densidad incluido y formando una unidad. Sin la cabeza incluida en el polietileno de la unidad acetabular. Polietileno moldeado con espesor mínimo de 6 mm con anillo de seguridad de polietileno sin cabeza incluida. Diámetro interno de 22 mm. Diámetro externo: 40.0 mm a 60.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,,,,generico,SI,28/02/2020
3778,0608201281,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Componente femoral con cuello y vástago de longitud variable con cabeza de diámetro externo de: 38.0 mm a 53.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,,,,generico,SI,28/02/2020
3779,0608201299,Prótesis total de rodilla cementada con estabilizador posterior. Todos los componentes deben ser compatibles entre sí. La selección del material y las medidas estará a cargo de las unidades de atención de acuerdo a sus necesidades. Componente femoral anatómico o universal de cromo-cobalto-molibdeno con curvatura patelo-femoral con o sin pivotes laterales para su fijación sin vástago central en monobloque. Con cajón para estabilizador tibial. Medidas: Extrachico chico mediano o grande. O su correspondiente en mm. Pieza.,,,,generico,SI,28/02/2020
3780,0608201307,Protesis total de rodilla cementada con estabilizador posterior. Todos los componentes deben ser compatibles entre si. La seleccion del material y las medidas estara a cargo de las unidades de atencion de acuerdo a sus necesidades. Base tibial metálica de cromo-cobalto-molibdeno o titanio modular con un vástago central en forma de cruz delta o H sin tornillos sin orificios para tornillos sin pivotes laterales. Medidas: Extrachica chica mediana o grande. O su correspondiente en mm. Pieza.,,,,generico,SI,28/02/2020
3781,0608201315,Prótesis para miembro toracico. Todos los componentes deben ser compatibles entre si. La seleccion de las medidas estara a cargo de las unidades de atencion de acuerdo a sus necesidades. Sistema de artroplastía de hombro Bipolar cementada. Vástago de cromo cobalto-molibdeno o titanio modular de 6.0 mm a 11.0 mm de diámetro con sistema de fijación antirrotacional cuello modular cono tipo Morse. Longitud de 120.0 mm a 130.0 mm. Incluye medidas intermedias entre las especificadas. La selección del material estará a cargo de las unidades de atención de acuerdo a sus necesidades. Pieza.,,,,generico,SI,28/02/2020
3782,0608201323,Prótesis de cadera no cementada en aleación de titanio con o sin recubrimiento osteointegrador. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. La selección de las medidas estará a cargo de las unidades de atención de acuerdo a sus necesidades. Vástago recto de titanio forjado con macroestructura proximal longitudinal ángulo cérvico diafisiario de 130 a 135 grados con recubrimiento microporoso en su tercio proximal y cono 12-14. Además comprende dimensiones entre las especificadas. Ancho: de 8.5 mm a 17.5 mm. Incluye medidas intermedias entre las especificadas. Pieza.,,,,generico,SI,28/02/2020
3783,0608201331,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Componentes femorales cementados vástago recto ángulo cérvico diafisiario de 125 a 135 grados ranuras para centralizador distal cono 12-14 para los sistemas que lo requieran. Ancho de: 8.5 mm a 14.5 mm. Incluye medidas intermedias entre las especificadas. Pieza.,,,,generico,SI,28/02/2020
3784,0608201349,Protésis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 12 cm. Calibre: 10.0 Fr. Pieza.,,,,generico,SI,28/02/2020
3785,0608201356,Protésis. Prótesis para conducto biliar. Estéril y desechable. Tipo: zimmon. Longitud: 4 cm. Calibre: 5 Fr. Pieza.,,,,generico,SI,28/02/2020
3786,0608201364,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Zimmon. Longitud: 7 cm Calibre: 5 Fr. Pieza.,,,,generico,SI,28/02/2020
3787,0608201372,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Zimmon. Longitud: 10 cm Calibre: 5 Fr. Pieza.,,,,generico,SI,28/02/2020
