id,clave,descripcion,unidad,cantidad,tipo,caracteristicas,controlado,red frio,fecha,consejo,focales,atc,estatus
1,010000002200,Caseinato de calcio. Polvo. cada 100 g contienen: Proteínas 86.0 a 90.0 g. Grasas 0.0 a 2.0 g. Minerales 3.8 a 6.0 g. Humedad 0.0 a 6.2 g. Envase con 100 g.,ENV,1,PZA,,0,0,28/02/2020,,NO,NO,
2,010000007100,Benzatina bencilpenicilina. Suspensión inyectable cada frasco ámpula con polvo contiene: Benzatina bencilpenicilina equivalente a 600 000 UI de bencilpenicilina. Envase con un frasco ámpula y 5 ml de diluyente.,ENV,1,F.A.,,NO,NO,28/02/2020,Enfermedades infecciosas,,,Incluido
3,010000008000,Nicotina. Tableta masticable cada tableta de goma masticable contiene: complejo de resina de nicotina al 20% equivalente a 2.0 mg de nicotina. Envase con 30 tabletas de goma masticable,ENV,30,TAB,,0,0,28/02/2020,,,,
4,010000008100,Nicotina. Solución cada cartucho contiene: nicotina 10.0 mg. Envase con 6 cartuchos y boquilla.,,,,,,,28/02/2020,,,,
5,010000008200,Nicotina. Parche cada parche de 7 cm2 contiene: nicotina 36 mg. envases con 7 parches.,ENV,7,PCH,,0,0,28/02/2020,,,,
6,010000008300,Nicotina. Parche cada parche de 15 cm2 contiene: nicotina 78 mg. envase con 7 parches.,ENV,7,PCH,,0,0,28/02/2020,,,,
7,010000008400,Nicotina. Parche cada parche de 22 cm2 contiene: nicotina 114 mg. envase con 7 parches.,ENV,7,PCH,,0,0,28/02/2020,,,,
8,010000008500,Vareniclina. Tableta cada tableta contiene: tartrato de vareniclina equivalente a 0.5 mg de vareniclina. y cada tableta contiene: tartrato de vareniclina equivalente a 1 mg de vareniclina. Envase con 11 tabletas de 0.5 mg más 14 tabletas de 1 mg.,ENV,25,TAB,,0,0,28/02/2020,,,,
9,010000008600,Vareniclina. Tableta cada tableta contiene: tartrato de vareniclina equivalente a 1 mg de vareniclina. Envase con 28 tabletas de 1 mg.,ENV,28,TAB,Patentes,NO,NO,28/02/2020,Patentes,,,Incluido
10,010000009100,Miel de Maiz. Solución cada 5 ml contienen: miel de maíz 3.75 g. envase con 500 ml.,,,,,,,28/02/2020,,,,
11,010000010100,Ácido acetilsalicilico. Tableta. Cada tableta contiene: Acido acetilsalicílico 500 mg. Envase con 20 tabletas.,ENV,20,TAB,,0,0,28/02/2020,,,,
12,010000010300,Ácido acetilsalicilico. Tableta soluble o efervescente cada tableta soluble o efervescente contiene: acido acetilsalicílico 300 mg. envase con 20 tabletas solubles o efervescentes.,ENV,20,TAB,,0,0,28/02/2020,,,,
13,010000010400,Paracetamol. Tableta cada tableta contiene: paracetamol 500 mg. envase con 10 tabletas.,ENV,10,TAB,,0,0,28/02/2020,,,,
14,010000010500,Paracetamol. Supositorio cada supositorio contiene: paracetamol 300 mg. envase con 3 supositorios.,ENV,3,SUP,,0,0,28/02/2020,,,,
15,010000010600,Paracetamol. Solucion oral cada ml contiene: paracetamol 100 mg. envase con 15 ml gotero calibrado a 0.5 y 1 ml integrado o adjunto al envase que sirve de tapa.,ENV,1,F.G.,,0,0,28/02/2020,,,,
16,010000010800,Metamizol sodico. Comprimido cada comprimido contiene: metamizol sódico 500 mg. envase con 10 comprimidos.,ENV,10,COMP,,0,0,28/02/2020,,,,
17,010000010900,Metamizol sodico. Solucion inyectable cada ampolleta contiene: metamizol sódico 1 g. envase con 3 ampolletas con 2 ml.,ENV,3,AMP,,0,0,28/02/2020,,,,
18,010000011300,Butilhioscina-metamizol. Gragea cada gragea contiene: bromuro de butilhioscina 10 mg metamizol sódico monohidrato equivalente a 250 mg de metamizol sódico. envase con 36 grageas.,ENV,36,GRA,,0,0,28/02/2020,,,,
19,010000015400,Aceite mineral. Solucion cada envase contiene: aceite mineral. envase con 265 ml.,ENV,265,ML,,0,0,28/02/2020,,,,
20,010000020400,Atropina. Solucion inyectable cada ampolleta contiene: sulfato de atropina 1 mg. envase con 50 ampolletas con 1 ml.,ENV,50,AMP,,0,0,28/02/2020,,,,
21,010000023200,Isoflurano. Liquido o solucion cada envase contiene: isoflurano 100 ml. envase con 100 ml.,ENV,100,ML,,0,0,28/02/2020,,,,
22,010000023300,Sevoflurano. Liquido o solucion cada envase contiene: sevoflurano 250 ml. envase con 250 ml de líquido o solución.,ENV,250,ML,,0,0,28/02/2020,,,,
23,010000023400,Desflurano. Liquido cada envase contiene: desflurano 240 ml. Envase con 240 ml.,ENV,240,ML,Patentes,NO,NO,28/02/2020,Patentes,,,Incluido
24,010000024400,Propofol. Emulsion inyectable cada ampolleta o frasco ámpula contiene: propofol 200 mg. en solución con aceite de soya fosfátido de huevo o lecitina de huevo y glicerol. Envase con 5 ampolletas o frascos ámpula de 20 ml.,ENV,5,AFA,,0,0,28/02/2020,,,,
25,010000024500,Propofol. Emulsion inyectable cada frasco ámpula o jeringa contiene: propofol 500 mg. en solución con aceite de soya fosfátido de huevo o lecitina de huevo y glicerol. Envase con un frasco ámpula o jeringa de 50 ml.,ENV,1,FAJ,,0,0,28/02/2020,,,,
26,010000024600,Propofol. Emulsion inyectable cada ampolleta o frasco ámpula contiene: propofol 200 mg. en emulsión con edetato disódico (dihidratado). Envase con 5 ampolletas o frascos ámpula de 20 ml.,ENV,5,AFA,,0,0,28/02/2020,,,,
27,010000024700,Dexmedetomidina solución inyectable. Cada frasco ámpula contiene:  clorhidrato de dexmedetomidina 200 µg  envase con 1 frasco ámpula,ENV,1,FCO,,0,0,28/02/2020,,,,
28,010000024701,Dexmedetomidina solución inyectable. Cada frasco ámpula contiene: clorhidrato de dexmedetomidina 200 µg envase con 5 frasco ámpula,ENV,5,F.A.,,0,0,28/02/2020,,,,
29,010000024702,Dexmedetomidina solución inyectable. Cada frasco ámpula contiene: clorhidrato de dexmedetomidina 200 µg envase con 25 frascos ámpula,ENV,25,F.A.,,0,0,28/02/2020,,,,
30,010000025200,Suxametonio cloruro de. Solución Inyectable Cada ampolleta contiene: Cloruro de suxametonio 40 mg Envase con 5 ampolletas con 2 ml.,ENV,5,AMP,,0,0,28/02/2020,,,,
31,010000025400,Vecuronio. Solución Inyectable Cada frasco ámpula con liofilizado contiene: Bromuro de vecuronio 4 mg Envase con 50 frascos ámpula y 50 ampolletas con 1 ml de diluyente (4 mg/ml),ENV,50,F.A.,,0,0,28/02/2020,,,,
32,010000026000,Lidocaína. Gel. Cada ml contiene: Clorhidrato de lidocaína 20 mg Envase con 10 ml.,ENV,10,ML,,0,0,28/02/2020,,,,
33,010000026001,Lidocaína. Gel. Cada ml contiene: Clorhidrato de lidocaína 20 mg Envase con 20 ml.,,,,,,,28/02/2020,,,,
34,010000026002,Lidocaína. Gel. Cada ml contiene: Clorhidrato de lidocaína 20 mg Envase con 30 ml.,ENV,30,ML,,0,0,28/02/2020,,,,
35,010000026100,Lidocaína. Solución Inyectable al 1%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 500 mg Envase con 5 frascos ámpula de 50 ml.,ENV,5,F.A.,,0,0,28/02/2020,,,,
36,010000026200,Lidocaína. Solución Inyectable al 2%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 1 g Envase con 5 frascos ámpula con 50 ml,ENV,5,F.A.,,0,0,28/02/2020,,,,
37,010000026300,Lidocaína. Solución Inyectable al 5%. Cada ampolleta contiene: Clorhidrato de lidocaína 100 mg Glucosa monohidratada 150 mg Envase con 50 ampolletas con 2 ml.,ENV,50,AMP,,0,0,28/02/2020,,,,
38,010000026400,Lidocaína. Solución al 10%. Cada 100 ml contiene: Lidocaína 10.0 g Envase con 115 ml con atomizador manual.,ENV,115,ML,,0,0,28/02/2020,,,,
39,010000026500,Lidocaína epinefrina. Solución Inyectable al 2% Cada frasco ámpula contiene: Clorhidrato de lidocaína 1 g Epinefrina (1:200000) 0.25 mg Envase con 5 frascos ámpula con 50 ml.,ENV,5,F.A.,,0,0,28/02/2020,,,,
40,010000026700,Lidocaína epinefrina. Solución Inyectable al 2% Cada cartucho dental contiene: Clorhidrato de lidocaína 36 mg Epinefrina (1:100000) 0.018 mg Envase con 50 cartuchos dentales con 1.8 ml.,ENV,50,CHO,,0,0,28/02/2020,,,,
41,010000026900,Ropivacaina. Solución Inyectable Cada ampolleta contiene: Clorhidrato de ropivacaína monohidratada equivalente a 40 mg de clorhidrato de ropivacaina. Envase con 5 ampolletas con 20 ml.,ENV,5,AMP,,0,0,28/02/2020,,,,
