id proc_med,id_cat_med,id_cat_proce,proceso,clave_med,partida,min,max,precio,preciointer,precionacional,osopm,estatus,tipo
297,297,8,2020-08,010000170700,1,67516,168788,0,0,0,PMR,1,GENERICO
298,298,8,2020-08,010000175100,2,1136,2840,,,,PMR,1,GENERICO
299,299,8,2020-08,010000175101,3,3107,7764.125,,,,PMR,1,GENERICO
300,300,8,2020-08,010000175400,4,2525,6308.625,,,,PMR,1,GENERICO
301,301,8,2020-08,010000175500,5,2375,5935,,,,PMR,1,PATENTE
302,302,8,2020-08,010000175600,6,3701,9247.75,,,,PMR,1,PATENTE
303,303,8,2020-08,010000175800,7,1020,2548,,,,PMR,1,GENERICO
304,304,8,2020-08,010000175900,8,253001,632495.625,,,,PMR,1,GENERICO
305,305,8,2020-08,010000176100,9,2618,6544,,,,PMR,1,GENERICO
306,306,8,2020-08,010000176101,10,16909,42268.875,,,,PMR,1,GENERICO
307,307,8,2020-08,010000176600,11,19628,49068.125,,,,PMR,1,GENERICO
308,308,8,2020-08,010000215200,12,8506,21264,,,,PMR,1,GENERICO
309,309,8,2020-08,010000219200,13,94438,236094,,,,PMR,1,GENERICO
310,310,8,2020-08,010000219300,14,4504,11260,,,,PMR,1,FUENTE ÚNICA
311,311,8,2020-08,010000219400,15,3406,8513,,,,PMR,1,GENERICO
312,312,8,2020-08,010000219500,16,120266,300655.875,,,,PMR,1,GENERICO
313,313,8,2020-08,010000304700,17,186914,467281,,,,PMR,1,GENERICO
314,314,8,2020-08,010000304800,18,8116,20286.875,,,,PMR,1,FUENTE ÚNICA
315,315,8,2020-08,010000304900,19,13887,34713,,,,PMR,1,FUENTE ÚNICA
316,316,8,2020-08,010000305000,20,64,160,,,,PMR,1,GENERICO
317,317,8,2020-08,010000305500,21,18656,46636,,,,PMR,1,GENERICO
318,318,8,2020-08,010000305501,22,4640,11596,,,,PMR,1,GENERICO
319,319,8,2020-08,010000422500,23,19599,48995.25,,,,PMR,1,GENERICO
320,320,8,2020-08,010000422600,24,9291,23223.375,,,,PMR,1,GENERICO
321,321,8,2020-08,010000422700,25,2485,6211,,,,PMR,1,GENERICO
322,322,8,2020-08,010000422900,26,24869,62169,,,,PMR,1,GENERICO
323,323,8,2020-08,010000422901,27,12346,30965,,,,PMR,1,GENERICO
324,324,8,2020-08,010000430200,28,694600,1736491.625,,,,PMR,1,GENERICO
325,325,8,2020-08,010000432201,29,3952,9874.125,,,,PMR,1,PATENTE
326,326,8,2020-08,010000432300,30,3417,8536,,,,PMR,1,PATENTE
327,327,8,2020-08,010000442800,31,57,142,,,,PMR,1,GENERICO
328,328,8,2020-08,010000442900,32,445891,1114724.73,,,,PMR,1,GENERICO
329,329,8,2020-08,010000443300,33,48839,122093,,,,PMR,1,GENERICO
330,330,8,2020-08,010000443700,34,61640,154098.625,,,,PMR,1,GENERICO
331,331,8,2020-08,010000443800,35,324,808,,,,PMR,1,GENERICO
332,332,8,2020-08,010000443900,36,12185,30458.625,,,,PMR,1,GENERICO
333,333,8,2020-08,010000444000,37,1331,3326,,,,PMR,1,GENERICO
334,334,8,2020-08,010000444100,38,20215,50535,,,,PMR,1,GENERICO
335,335,8,2020-08,010000444200,39,39455,98638.25,,,,PMR,1,PATENTE
336,336,8,2020-08,010000444400,40,16918,42291.745,,,,PMR,1,GENERICO
337,337,8,2020-08,010000444500,41,10890,27223,,,,PMR,1,GENERICO
338,338,8,2020-08,010000444600,42,28468,71164.75,,,,PMR,1,GENERICO
339,339,8,2020-08,010000444800,43,6896,17233.85714,,,,PMR,1,GENERICO
340,340,8,2020-08,010000514000,44,240,600,,,,PMR,1,FUENTE ÚNICA
341,341,8,2020-08,010000514001,45,800,2000,,,,PMR,1,FUENTE ÚNICA
342,342,8,2020-08,010000523300,46,11174,27934.375,,,,PMR,1,GENERICO
343,343,8,2020-08,010000530700,47,349,867,,,,PMR,1,GENERICO
344,344,8,2020-08,010000541800,48,740,1848,,,,PMR,1,GENERICO
345,345,8,2020-08,010000541801,49,21535,53830.5,,,,PMR,1,GENERICO
346,346,8,2020-08,010000541802,50,8601,21501,,,,PMR,1,GENERICO
347,347,8,2020-08,010000542100,51,1852,4630,,,,PMR,1,FUENTE ÚNICA
348,348,8,2020-08,010000542200,52,322,804,,,,PMR,1,PATENTE
349,349,8,2020-08,010000542300,53,29861,74647,,,,PMR,1,PATENTE
350,350,8,2020-08,010000542400,54,47956,119888,,,,PMR,1,GENERICO
351,351,8,2020-08,010000542600,55,2836,7087,,,,PMR,1,GENERICO
352,352,8,2020-08,010000542700,56,1061,2652,,,,PMR,1,GENERICO
353,353,8,2020-08,010000542800,57,674504,1686257.688,,,,PMR,1,GENERICO
354,354,8,2020-08,010000543000,58,1880,4698.375,,,,PMR,1,GENERICO
