1,"ABASTECEDORA HIGIENICA DE SONORA, S.A. DE C.V.",,AHS0503295N0,, , ,0
2,ABBOTT LABORATORIES DE MEXICO SA DE CV,,ALM84030811A,, , ,0
3,"ABBVIE FARMACÉUTICOS, SA DE CV",,AFA120703V98,,Maria Guadalupe Palestino Herrera ,"Boulevard Adolfo Ruiz Cortinez 3720, Oficina 10-001 (Edifi Wework Pedregal), Colonia Jardines del Pedregal. C.P. 01900 Ciudad de Mexico ",0
4,ABEL GUTIERREZ RAMOS Y/O INVESTIGACIÓN DIAGNÓSTICA,,GURA561126R41,5556-9349-95, Abel Gutiérrez Ramos," Calle Nicolás Bravo, mz. 22 lt.17, Col. Las Peñas Iztapalapa, C.P. 09750",0
5,ABSORVENTES GOMAR SA DE CV,,AGO120820532,, , ,0
6,ACCORD FARMA SA DE CV,STEPHANIE.HERNANDEZ@ACCPORDFARMA.COM.MX,AFA0610128Q0,5585-8246-10, ," Jaime Balmes #11, piso 3, int. 300 Torre D, Col Los Morales, Polanco",0
7,"ACCUTRACK, S.A. DE C.V.",,ACC011004NQ5,, , ,0
8,"AGYPROM, S.A. DE C.V.",,AGY090902UX8,, , ,0
9,ALCOHOLES Y MELAZAS DE MEXICO SA DE CV,info@alymel.com,MM070327B6,5552-0762-40, ," Durango 195, piso 5, Colonia Roma, C.P. 06700, Ciudad de México ",0
10,ALEACIONES DENTALES ZEYCO SA DE CV,,ADZ841009FY9,, , ,0
11,ALLEN LABORATORIOS SA DE CV,atencion.clientes@allenlaboratorios.com,,5555-6780-27, ," Av. Instituto Politécnico Nacional #4728, Colonia TlacamacaC.P. 07380, Alcaldía Venustiano Carranza, Ciudad de México",0
12,"ALLERGAN, S.A. DE C.V.",SERV_CLIENTES@ALLERGAN.COM,ALL820326MUA,,Migel Angel Mendoza Chavez,"Ave. Santa Fe 505, P11 Col. Cruz Manca Cdmx C.P. 05349 ",0
13,ALVARTIS PHARMA SA DE CV,,APH020424BJ5,, , ,0
14,AMAROX PHARMA S.A. DE C.V.,,CPH1512075J2,, , ,0
15,"AMBIDERM, S.A. DE C.V.",,AMB890104S63,,Javier Mauricio Calderon Bárcena ,Carr. A Bosques De San Isidro No. 1136 Col. San Isidro C.P. 45147 Zapopan Jalisco ,0
16,"AMGEN, S.A. DE C.V.",,AME060622FA5,, , ,0
17,"ARLEX DE MEXICO, S.A. DE C.V.",,AME810318I13,, , ,0
18,ARMSTRONG LABORATORIOS DE MÉXICO S.A. DE C.V.,,ALM780206E75,, ," Av. División del Norte 3311, Col. La Candelaria",0
19,"ARROW INTERNACIONAL DE MEXICO, S.A. DE C.V.",,AIM9307162M9,5550-0235-00, ," Av. Insurgentes Sur 800, Col del Valle, Alcaldía Benito Juárez, C.P. 03100, Ciudad de México",0
20,"ARTE MANUFACTURA Y COMERCIO, S.A. DE C.V.",,AMC9009132L3,, , ,0
21,"ARTICULOS DENTALES DEL NORTE, S.A. DE C.V.",,,8183-7512-29, ," Calle Colegio Civil 742, Col. Centro, Monterrey, Nuevo León.",0
22,ASOFARMA DE MEXICO S.A. DE C.V.,,AME9006135H0,, , ,0
23,ASPEN MEXICO S. DE R.L. DE C.V.,,WAY8711019F1,, , ,0
24,"ASPID, S.A. DE C.V.",lestrada@aspid.com.mx,,5525-9509-70, ," Bélgica 518, Col. Portales, C.P. 03300, Ciudad de México ",0
25,"ASTRA ZENECA, S.A. DE C.V.",andrea.conners@astrazeneca.com,AST961231B69,5553-7496-00, ," Periférico Sur 4305, Col. Jardines en la Montaña, Alcaldía Tlalpan. C.P. 14210, Ciudad de México.",0
26,"ATYDE MEXICO, S.A. DE C.V.",,AME051208JD9,, , ,0
27,"AUROVIDA FARMACEUTICA, S.A. DE C.V.",,AFA120210FL6,, , ,0
28,AXMILAB,,AXM031027L55,, , ,0
29,"B. BRAUN AESCULAP DE MÉXICO, S.A. DE C.V.",,BBA951010R72,, , ,0
30,"BAXTER, S.A. DE C.V.",,BAX871207MN3,, , ,0
31,"BAYER DE MÉXICO, S.A. DE C.V.",,BME820511SU5,, , ,0
32,"BECTON DICKINSON DE MEXICO, S.A. DE C.V.",,BDM571004IZ6,, , ,0
33,"BESINS HEALTHCARE MEXICO, S.A. DE C.V.",información@ besins-healthcare.com,,5554-4957-00, ," Camino de Santa Teresa #1040 PH 1001, Col. Jardines en la Montaña, Alcaldia Tlalpan CP 14210",0
34,BIO LEBEN,,BLE991208MF3,, , ,0
35,"BIO REG PHARMACEUTICALS, S.A. DE C.V.",,BRP031201-675,5533-3077-00, , Insurgentes sur 2376 Ciudad de México c.p.01070,0
36,BIOGEN MÉXICO S. DE R.L. DE C.V.,,BIM0604034D2,, ," Florencia 57 piso 3, Alcaldía Cuauhtemoc, Col. Juárez",0
37,"BIOMEP, S.A. DE C.V.",info@grupobiomep.com.mx,,"5555-2700-80, 01800-224-6637", , ,0
38,"BIORESEARCH DE MÉXICO, S.A. DE C.V.",,,5553-0052-73,Julio Alberto Ochoa Robert ,"Rio Totolica No. 15-A Fraccionamiento Industrial Naucalpan edo. Mexico C.P. 53370 Río Totolica 15-A, Fracc. Industrial Naucalpan C.P. 53370",0
39,"BIOSKINCO, S.A. DE C.V.",,BIO9803209V6,, , ,0
40,"BIOTECNOLOGÍAS DE OCCIDENTE, S.A. DE C.V.",contacto@biocsa.com,BOC1302013P4,3331-4608-91, ," Av. Ludwig Van Beethoven #4914, Lomas de Seminario, Zapopan Jalisco. C.P. 45038",0
41,"BMC MEDICAL MANUFACTURING, S.A. DE C.V.",info@bmcmm.com,,8183-7176-14, David López García," Calle Mina #102, Col. Emiliano Zapata, Monterrey, Nuevo León. C.P. 64398",0
42,"BMRN MÉXICO, S. DE C.L. DE C.V.",,BME0903312CA,, ," Florencia 57, piso 3, Col. Juárez, Alcaldía Cuauhtémoc, C.P. 06600 Ciudad de México",0
43,"BOEHRINGER- INGELHEIM, S.A. DE C.V.",proveedores.mex@boehringer-ingelheim.com,,5556-2983-00, ," Calle Maiz #49, Col. Barrio XALTOCN, Alcaldía Xochimilco, C.P. 16090, Ciudad de México",0
